hub_id,hub_name,priority_tier,member_entity_id,member_name,member_mode,paired_entity_id,paired_name,paired_mode,walking_distance_m,confidence,requires_review,verified,notes
HUB_TAMBARAM_SANATORIUM,Tambaram Sanatorium,TIER_1_CORE,OSM_RAIL_5311775880,Tambaram Sanatorium,suburban_rail,OSM_BUS_7205568985,தாம்பரம் சானடோரியம் பேருந்து நிலையம்,bus,371.4,0.5,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> bus at 371.4m.
HUB_____________,அரும்பாக்கம்,TIER_1_CORE,OSM_RAIL_9592492224,அரும்பாக்கம்,metro,GTFS_STOP_10924,M.M.D.A.Colony Terminus,bus,386.8,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 386.8m.
HUB_____________,அரும்பாக்கம்,TIER_1_CORE,OSM_RAIL_9592492225,அரும்பாக்கம்,metro,GTFS_STOP_10924,M.M.D.A.Colony Terminus,bus,391.6,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 391.6m.
HUB_______,கிண்டி,TIER_1_CORE,OSM_RAIL_5321248425,கிண்டி,metro,GTFS_STOP_1461,Guindy Bus Terminus,bus,196.7,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 196.7m.
HUB_______,கிண்டி,TIER_1_CORE,OSM_RAIL_6285857247,கிண்டி,metro,OSM_BUS_3264888779,Guindy Bus Stand,bus,248.3,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 248.3m.
HUB_______,கிண்டி,TIER_1_CORE,OSM_RAIL_6285857247,கிண்டி,metro,GTFS_STOP_1461,Guindy Bus Terminus,bus,194.2,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 194.2m.
HUB_______,கிண்டி,TIER_1_CORE,OSM_RAIL_6285857248,கிண்டி,metro,OSM_BUS_3264888779,Guindy Bus Stand,bus,249.4,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 249.4m.
HUB_______,கிண்டி,TIER_1_CORE,OSM_RAIL_6285857248,கிண்டி,metro,GTFS_STOP_1461,Guindy Bus Terminus,bus,195.5,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 195.5m.
HUB_______,கிண்டி,TIER_1_CORE,OSM_RAIL_5321248425,கிண்டி,metro,OSM_BUS_3264888779,Guindy Bus Stand,bus,250.1,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 250.1m.
HUB_________,சின்னமலை,TIER_1_CORE,OSM_RAIL_5321248424,சின்னமலை,metro,GTFS_STOP_5346,Saidapet Depot,bus,111.9,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 111.9m.
