normalized_id,source_id,source_record_id,raw_file_id,original_name,normalized_name,name_ta,name_hi,mode,stop_type,original_latitude,original_longitude,normalized_latitude,normalized_longitude,coordinate_plausible,inside_cma,parent_station,agency,operational_status
GTFS_STOP_8331,CHENNAI_COMMUNITY_GTFS,8331,CHENNAI_UNIFIED_GTFS_20260918,Mambakkam,Mambakkam,,,bus,bus_stop,12.94011,79.91576,12.94011,79.91576,True,True,,MTC,operational
GTFS_STOP_7586,CHENNAI_COMMUNITY_GTFS,7586,CHENNAI_UNIFIED_GTFS_20260918,Thandal Kazhani,Thandal Kazhani,,,bus,bus_stop,13.17602,80.1964,13.17602,80.1964,True,True,,MTC,operational
GTFS_STOP_7587,CHENNAI_COMMUNITY_GTFS,7587,CHENNAI_UNIFIED_GTFS_20260918,Tpl,Tpl,,,bus,bus_stop,13.17622,80.27994,13.17622,80.27994,True,True,,MTC,operational
GTFS_STOP_7588,CHENNAI_COMMUNITY_GTFS,7588,CHENNAI_UNIFIED_GTFS_20260918,Tpl,Tpl,,,bus,bus_stop,13.17637,80.28004,13.17637,80.28004,True,True,,MTC,operational
GTFS_STOP_7589,CHENNAI_COMMUNITY_GTFS,7589,CHENNAI_UNIFIED_GTFS_20260918,Kossapur School,Kossapur School,,,bus,bus_stop,13.17644,80.23547,13.17644,80.23547,True,True,,MTC,operational
GTFS_STOP_7590,CHENNAI_COMMUNITY_GTFS,7590,CHENNAI_UNIFIED_GTFS_20260918,Kossapur School,Kossapur School,,,bus,bus_stop,13.17649,80.23554,13.17649,80.23554,True,True,,MTC,operational
GTFS_STOP_7591,CHENNAI_COMMUNITY_GTFS,7591,CHENNAI_UNIFIED_GTFS_20260918,Sathya Moorthy Nagar,Sathya Moorthy Nagar,,,bus,bus_stop,13.17654,80.29456,13.17654,80.29456,True,True,,MTC,operational
GTFS_STOP_8336,CHENNAI_COMMUNITY_GTFS,8336,CHENNAI_UNIFIED_GTFS_20260918,Mount Union Office,Mount Union Office,,,bus,bus_stop,12.94076,80.13811,12.94076,80.13811,True,True,,MTC,operational
GTFS_STOP_8337,CHENNAI_COMMUNITY_GTFS,8337,CHENNAI_UNIFIED_GTFS_20260918,Kishkintha,Kishkintha,,,bus,bus_stop,12.94079,80.08113,12.94079,80.08113,True,True,,MTC,operational
GTFS_STOP_8338,CHENNAI_COMMUNITY_GTFS,8338,CHENNAI_UNIFIED_GTFS_20260918,Mount Union Office,Mount Union Office,,,bus,bus_stop,12.94086,80.13816,12.94086,80.13816,True,True,,MTC,operational
GTFS_STOP_8339,CHENNAI_COMMUNITY_GTFS,8339,CHENNAI_UNIFIED_GTFS_20260918,Kishkintha,Kishkintha,,,bus,bus_stop,12.94095,80.08098,12.94095,80.08098,True,True,,MTC,operational
GTFS_STOP_8340,CHENNAI_COMMUNITY_GTFS,8340,CHENNAI_UNIFIED_GTFS_20260918,Muthumariamman Kovil,Muthumariamman Kovil,,,bus,bus_stop,12.94149,80.14514,12.94149,80.14514,True,True,,MTC,operational
GTFS_STOP_8342,CHENNAI_COMMUNITY_GTFS,8342,CHENNAI_UNIFIED_GTFS_20260918,Kumaran Kundram,Kumaran Kundram,,,bus,bus_stop,12.94196,80.14334,12.94196,80.14334,True,True,,MTC,operational
GTFS_STOP_8348,CHENNAI_COMMUNITY_GTFS,8348,CHENNAI_UNIFIED_GTFS_20260918,Bhuari Hotel,Bhuari Hotel,,,bus,bus_stop,12.94225,80.25316,12.94225,80.25316,True,True,,MTC,operational
GTFS_STOP_7503,CHENNAI_COMMUNITY_GTFS,7503,CHENNAI_UNIFIED_GTFS_20260918,Manapakkam,Manapakkam,,,bus,bus_stop,13.16335,80.2244,13.16335,80.2244,True,True,,MTC,operational
GTFS_STOP_7504,CHENNAI_COMMUNITY_GTFS,7504,CHENNAI_UNIFIED_GTFS_20260918,Manali Market,Manali Market,,,bus,bus_stop,13.16343,80.25942,13.16343,80.25942,True,True,,MTC,operational
GTFS_STOP_7505,CHENNAI_COMMUNITY_GTFS,7505,CHENNAI_UNIFIED_GTFS_20260918,Manali Market,Manali Market,,,bus,bus_stop,13.16354,80.25864,13.16354,80.25864,True,True,,MTC,operational
GTFS_STOP_7506,CHENNAI_COMMUNITY_GTFS,7506,CHENNAI_UNIFIED_GTFS_20260918,Manali Market,Manali Market,,,bus,bus_stop,13.16354,80.25855,13.16354,80.25855,True,True,,MTC,operational
GTFS_STOP_7507,CHENNAI_COMMUNITY_GTFS,7507,CHENNAI_UNIFIED_GTFS_20260918,Puzhal Jail,Puzhal Jail,,,bus,bus_stop,13.16386,80.20267,13.16386,80.20267,True,True,,MTC,operational
GTFS_STOP_7508,CHENNAI_COMMUNITY_GTFS,7508,CHENNAI_UNIFIED_GTFS_20260918,Thiruvottiyur Market,Thiruvottiyur Market,,,bus,bus_stop,13.16406,80.30334,13.16406,80.30334,True,True,,MTC,operational
GTFS_STOP_7509,CHENNAI_COMMUNITY_GTFS,7509,CHENNAI_UNIFIED_GTFS_20260918,Puzhal Jail,Puzhal Jail,,,bus,bus_stop,13.16431,80.2023,13.16431,80.2023,True,True,,MTC,operational
GTFS_STOP_8344,CHENNAI_COMMUNITY_GTFS,8344,CHENNAI_UNIFIED_GTFS_20260918,Kumaran Kundram,Kumaran Kundram,,,bus,bus_stop,12.942,80.14281,12.942,80.14281,True,True,,MTC,operational
GTFS_STOP_8345,CHENNAI_COMMUNITY_GTFS,8345,CHENNAI_UNIFIED_GTFS_20260918,Kumaran Kundram,Kumaran Kundram,,,bus,bus_stop,12.94203,80.14277,12.94203,80.14277,True,True,,MTC,operational
GTFS_STOP_8346,CHENNAI_COMMUNITY_GTFS,8346,CHENNAI_UNIFIED_GTFS_20260918,Bhuari Hotel,Bhuari Hotel,,,bus,bus_stop,12.94212,80.25333,12.94212,80.25333,True,True,,MTC,operational
GTFS_STOP_8347,CHENNAI_COMMUNITY_GTFS,8347,CHENNAI_UNIFIED_GTFS_20260918,Dharkast,Dharkast,,,bus,bus_stop,12.94214,80.07179,12.94214,80.07179,True,True,,MTC,operational
GTFS_STOP_8349,CHENNAI_COMMUNITY_GTFS,8349,CHENNAI_UNIFIED_GTFS_20260918,Sanatorium,Sanatorium,,,bus,bus_stop,12.94245,80.13312,12.94245,80.13312,True,True,,MTC,operational
GTFS_STOP_8350,CHENNAI_COMMUNITY_GTFS,8350,CHENNAI_UNIFIED_GTFS_20260918,Sanatorium,Sanatorium,,,bus,bus_stop,12.94264,80.13302,12.94264,80.13302,True,True,,MTC,operational
GTFS_STOP_10936,CHENNAI_COMMUNITY_GTFS,10936,CHENNAI_UNIFIED_GTFS_20260918,Madhavaram Village Bus Terminus,Madhavaram Village Bus Terminus,,,bus,bus_terminal,13.15236,80.22824,13.15236,80.22824,True,True,,MTC,operational
GTFS_STOP_8343,CHENNAI_COMMUNITY_GTFS,8343,CHENNAI_UNIFIED_GTFS_20260918,Kumaran Kundram,Kumaran Kundram,,,bus,bus_stop,12.94181,80.14304,12.94181,80.14304,True,True,,MTC,operational
GTFS_STOP_7514,CHENNAI_COMMUNITY_GTFS,7514,CHENNAI_UNIFIED_GTFS_20260918,Sasthiri Nagar Manali,Sasthiri Nagar Manali,,,bus,bus_stop,13.16537,80.25351,13.16537,80.25351,True,True,,MTC,operational
GTFS_STOP_7515,CHENNAI_COMMUNITY_GTFS,7515,CHENNAI_UNIFIED_GTFS_20260918,Rajaji Street,Rajaji Street,,,bus,bus_stop,13.16593,80.28942,13.16593,80.28942,True,True,,MTC,operational
GTFS_STOP_7516,CHENNAI_COMMUNITY_GTFS,7516,CHENNAI_UNIFIED_GTFS_20260918,Rajaji Street,Rajaji Street,,,bus,bus_stop,13.16594,80.28942,13.16594,80.28942,True,True,,MTC,operational
GTFS_STOP_8351,CHENNAI_COMMUNITY_GTFS,8351,CHENNAI_UNIFIED_GTFS_20260918,Nehru Nagar,Nehru Nagar,,,bus,bus_stop,12.94259,80.14058,12.94259,80.14058,True,True,,MTC,operational
GTFS_STOP_8352,CHENNAI_COMMUNITY_GTFS,8352,CHENNAI_UNIFIED_GTFS_20260918,Dharkast,Dharkast,,,bus,bus_stop,12.94263,80.07155,12.94263,80.07155,True,True,,MTC,operational
GTFS_STOP_8353,CHENNAI_COMMUNITY_GTFS,8353,CHENNAI_UNIFIED_GTFS_20260918,Nehru Nagar,Nehru Nagar,,,bus,bus_stop,12.94269,80.14054,12.94269,80.14054,True,True,,MTC,operational
GTFS_STOP_8354,CHENNAI_COMMUNITY_GTFS,8354,CHENNAI_UNIFIED_GTFS_20260918,Naduveerapattu,Naduveerapattu,,,bus,bus_stop,12.94276,80.04981,12.94276,80.04981,True,True,,MTC,operational
GTFS_STOP_8355,CHENNAI_COMMUNITY_GTFS,8355,CHENNAI_UNIFIED_GTFS_20260918,Naduveerapattu,Naduveerapattu,,,bus,bus_stop,12.94279,80.04959,12.94279,80.04959,True,True,,MTC,operational
GTFS_STOP_8356,CHENNAI_COMMUNITY_GTFS,8356,CHENNAI_UNIFIED_GTFS_20260918,Thangam Borewells,Thangam Borewells,,,bus,bus_stop,12.94293,80.16707,12.94293,80.16707,True,True,,MTC,operational
GTFS_STOP_8357,CHENNAI_COMMUNITY_GTFS,8357,CHENNAI_UNIFIED_GTFS_20260918,Thangam Borewells,Thangam Borewells,,,bus,bus_stop,12.94297,80.16713,12.94297,80.16713,True,True,,MTC,operational
GTFS_STOP_8358,CHENNAI_COMMUNITY_GTFS,8358,CHENNAI_UNIFIED_GTFS_20260918,Indra Cotton Mill,Indra Cotton Mill,,,bus,bus_stop,12.94331,80.13872,12.94331,80.13872,True,True,,MTC,operational
GTFS_STOP_8359,CHENNAI_COMMUNITY_GTFS,8359,CHENNAI_UNIFIED_GTFS_20260918,Indra Cotton Mill,Indra Cotton Mill,,,bus,bus_stop,12.94335,80.13825,12.94335,80.13825,True,True,,MTC,operational
GTFS_STOP_8361,CHENNAI_COMMUNITY_GTFS,8361,CHENNAI_UNIFIED_GTFS_20260918,Infoview Thoraipakkam,Infoview Thoraipakkam,,,bus,bus_stop,12.94373,80.23753,12.94373,80.23753,True,True,,MTC,operational
