interchange_id,from_entity,from_name,to_entity,to_name,transfer_type,walking_distance_m,walking_time_min,confirmed,notes
INT_OSM_RAIL_687_OSM_BUS_3061,OSM_RAIL_687175415,சென்னை புறநகர் பேருந்து நிலையம்,OSM_BUS_306104406,Puratchi Thalaivar Dr. M.G.R Bus Terminus,walking_interchange,129.1,1.7,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_687_OSM_BUS_1159,OSM_RAIL_687175415,சென்னை புறநகர் பேருந்து நிலையம்,OSM_BUS_11598619872,Bus to Mamallapuram,walking_interchange,108.5,1.4,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_687_GTFS_STOP_58,OSM_RAIL_687175415,சென்னை புறநகர் பேருந்து நிலையம்,GTFS_STOP_5822,M.G.R.Koyambedu Bus Terminus,walking_interchange,140.9,1.9,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_248_OSM_RAIL_532,OSM_RAIL_2481258999,Chennai Park,OSM_RAIL_5329907502,Central Metro,walking_interchange,143.6,1.9,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_248_OSM_RAIL_628,OSM_RAIL_2481258999,Chennai Park,OSM_RAIL_6285857250,Central Metro,walking_interchange,137.7,1.8,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_248_OSM_RAIL_628,OSM_RAIL_2481258999,Chennai Park,OSM_RAIL_6285857251,Central Metro,walking_interchange,139.5,1.9,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_248_OSM_RAIL_628,OSM_RAIL_2481258999,Chennai Park,OSM_RAIL_6285857252,Central Metro,walking_interchange,141.8,1.9,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_248_OSM_RAIL_628,OSM_RAIL_2481258999,Chennai Park,OSM_RAIL_6285857253,Central Metro,walking_interchange,140.4,1.9,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_326_OSM_RAIL_532,OSM_RAIL_3264712327,Guindy,OSM_RAIL_5321248425,கிண்டி,walking_interchange,82.0,1.1,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_326_OSM_RAIL_628,OSM_RAIL_3264712327,Guindy,OSM_RAIL_6285857247,கிண்டி,walking_interchange,86.0,1.1,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_326_OSM_RAIL_628,OSM_RAIL_3264712327,Guindy,OSM_RAIL_6285857248,கிண்டி,walking_interchange,85.0,1.1,False,Multimodal candidate between suburban_rail and metro.
