normalized_route_id,source_id,source_route_id,agency,route_short_name,route_long_name,mode,route_type,status
GTFS_ROUTE_20272,CHENNAI_COMMUNITY_GTFS,20272,MTC,70C CT10,Kilambakkam Bus Terminus TO Vadapalani Bus Stand,bus,3,operational
GTFS_ROUTE_20266,CHENNAI_COMMUNITY_GTFS,20266,MTC,597 CT11,Thiruvallur TO Poonamallee B.T,bus,3,operational
GTFS_ROUTE_17008,CHENNAI_COMMUNITY_GTFS,17008,MTC,S60,M.G.R.Koyambedu TO Maduravoyal Erikarai,bus,3,operational
GTFS_ROUTE_17004,CHENNAI_COMMUNITY_GTFS,17004,MTC,S60,Maduravoyal Erikarai TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_17021,CHENNAI_COMMUNITY_GTFS,17021,MTC,S60,M.G.R.Koyambedu TO Anna Nagar West,bus,3,operational
GTFS_ROUTE_17037,CHENNAI_COMMUNITY_GTFS,17037,MTC,S60,Anna Nagar West TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_20273,CHENNAI_COMMUNITY_GTFS,20273,MTC,70C CT11,Koyambedu Market TO Tambaram West,bus,3,operational
GTFS_ROUTE_20274,CHENNAI_COMMUNITY_GTFS,20274,MTC,70C CT12,M.G.R.Koyambedu TO K K Nagar,bus,3,operational
GTFS_ROUTE_20276,CHENNAI_COMMUNITY_GTFS,20276,MTC,70C CT13,M.G.R.Koyambedu TO Tambaram West,bus,3,operational
GTFS_ROUTE_20278,CHENNAI_COMMUNITY_GTFS,20278,MTC,70C CT15,Navalur S.C.B TO Koyambedu Market,bus,3,operational
GTFS_ROUTE_17249,CHENNAI_COMMUNITY_GTFS,17249,MTC,S58,Ambattur I.E TO Thirumullaivoyal Colony,bus,3,operational
GTFS_ROUTE_20281,CHENNAI_COMMUNITY_GTFS,20281,MTC,70C CT18,Tambaram West TO Navalur S.C.B,bus,3,operational
GTFS_ROUTE_20282,CHENNAI_COMMUNITY_GTFS,20282,MTC,70C CT19,Vadapalani B.T TO Kilambakkam B.T,bus,3,operational
GTFS_ROUTE_20285,CHENNAI_COMMUNITY_GTFS,20285,MTC,572K,Thiruvallur TO Avadi B.T,bus,3,operational
GTFS_ROUTE_20286,CHENNAI_COMMUNITY_GTFS,20286,MTC,572K CT2,Ambattur Industrial Estate TO Thiruvallur,bus,3,operational
GTFS_ROUTE_20287,CHENNAI_COMMUNITY_GTFS,20287,MTC,572K,Avadi B.T TO Thiruvallur,bus,3,operational
GTFS_ROUTE_13403,CHENNAI_COMMUNITY_GTFS,13403,MTC,S53,Ambattur I.E TO Maduravoyal Erikarai,bus,3,operational
GTFS_ROUTE_20898,CHENNAI_COMMUNITY_GTFS,20898,MTC,S11 CT1,Guindy R.S TO Keelkattalai,bus,3,operational
GTFS_ROUTE_20294,CHENNAI_COMMUNITY_GTFS,20294,MTC,46Et,Otteri TO Periyar Nagar,bus,3,operational
GTFS_ROUTE_20295,CHENNAI_COMMUNITY_GTFS,20295,MTC,T29C CT,Thiruvanmiyur TO Periyar Nagar,bus,3,operational
GTFS_ROUTE_13405,CHENNAI_COMMUNITY_GTFS,13405,MTC,S53,Maduravoyal Erikarai TO Ambattur I.E,bus,3,operational
GTFS_ROUTE_13431,CHENNAI_COMMUNITY_GTFS,13431,MTC,S55,Ambattur R.S TO Thirumullaivoyal Sidco,bus,3,operational
GTFS_ROUTE_13433,CHENNAI_COMMUNITY_GTFS,13433,MTC,S55,Thirumullaivoyal Sidco TO Ambattur I.E,bus,3,operational
GTFS_ROUTE_17482,CHENNAI_COMMUNITY_GTFS,17482,MTC,S55,Thirumullaivoyal Sidco TO Ambattur R.S,bus,3,operational
GTFS_ROUTE_20296,CHENNAI_COMMUNITY_GTFS,20296,MTC,47A CT2,Icf TO Thyagaraya Nagar,bus,3,operational
GTFS_ROUTE_20297,CHENNAI_COMMUNITY_GTFS,20297,MTC,47A R,Thiruvanmiyur TO Villivakkam,bus,3,operational
GTFS_ROUTE_20298,CHENNAI_COMMUNITY_GTFS,20298,MTC,47A CT3,Thyagaraya Nagar TO Icf,bus,3,operational
GTFS_ROUTE_20299,CHENNAI_COMMUNITY_GTFS,20299,MTC,47A R1,Villivakkam TO Thiruvanmiyur,bus,3,operational
GTFS_ROUTE_20302,CHENNAI_COMMUNITY_GTFS,20302,MTC,29C CT1,Perambur B.T TO Sterling Road,bus,3,operational
GTFS_ROUTE_20303,CHENNAI_COMMUNITY_GTFS,20303,MTC,29C CT3,Sterling Road TO Perambur B.T,bus,3,operational
GTFS_ROUTE_20304,CHENNAI_COMMUNITY_GTFS,20304,MTC,51 CT21,Sunnambu Kolathur TO Thyagaraya Nagar,bus,3,operational
GTFS_ROUTE_20305,CHENNAI_COMMUNITY_GTFS,20305,MTC,51 CT22,Sunnambu Kolathur TO Velachery B.T,bus,3,operational
GTFS_ROUTE_20306,CHENNAI_COMMUNITY_GTFS,20306,MTC,51 CT22,Thyagaraya Nagar TO Sunnambu Kolathur,bus,3,operational
GTFS_ROUTE_17386,CHENNAI_COMMUNITY_GTFS,17386,MTC,102K,Thiruvanmiyur TO Ezhil Nagar,bus,3,operational
GTFS_ROUTE_20308,CHENNAI_COMMUNITY_GTFS,20308,MTC,51 CT27,Velachery B.T TO Sunnambu Kolathur,bus,3,operational
GTFS_ROUTE_20311,CHENNAI_COMMUNITY_GTFS,20311,MTC,27D,Icf  TO Foreshore Estate,bus,3,operational
GTFS_ROUTE_20312,CHENNAI_COMMUNITY_GTFS,20312,MTC,12X,M.G.R.Koyambedu TO Foreshore Estate,bus,3,operational
GTFS_ROUTE_16153,CHENNAI_COMMUNITY_GTFS,16153,MTC,19,Kannagi Nagar S.C.B TO Thiruporur,bus,3,operational
GTFS_ROUTE_20317,CHENNAI_COMMUNITY_GTFS,20317,MTC,101X CT,Poonamallee Bus Terminus TO Thirumazhisai Bus Stand,bus,3,operational
GTFS_ROUTE_20318,CHENNAI_COMMUNITY_GTFS,20318,MTC,101X CT,M.G.R.Koyambedu Bus Terminus TO Poonamallee Bus Terminus,bus,3,operational
GTFS_ROUTE_20319,CHENNAI_COMMUNITY_GTFS,20319,MTC,101X CT1,M.G.R.Koyambedu TO  Thirumazhisai,bus,3,operational
GTFS_ROUTE_16139,CHENNAI_COMMUNITY_GTFS,16139,MTC,19,Adyar TO Thiruporur,bus,3,operational
GTFS_ROUTE_16143,CHENNAI_COMMUNITY_GTFS,16143,MTC,19,Thiyagaraya Nagar TO Kelambakkam,bus,3,operational
GTFS_ROUTE_16152,CHENNAI_COMMUNITY_GTFS,16152,MTC,19,Kannagi Nagar S.C.B TO Thiyagaraya Nagar,bus,3,operational
