entity_id,canonical_name,candidate_alias,candidate_type,language,source_if_any,requires_human_confirmation
OSM_BUS_5274913769,Kotturpuram,கோட்டூர்புரம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_13972050953,Poonamallee Bypass,பூவிருந்தவல்லி புறவழிச்சாலை மெட்ரோ,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_13972488427,Poonamallee Bus Stand Metro,பூவிருந்தவல்லி பேருந்து நிலையம் மெட்ரோ,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_13972487793,Poonamallee Government Hospital Metro,பூவிருந்தவல்லி அரசு மருத்துவமனை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_13972502091,Karayanchavadi Metro,கரையன்சாவடி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3678939665,Avadi,ஆவடி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_10237557280,Sri Chelliamman Temple,ஸ்ரீ செல்லியம்மன் டெம்பிள்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_10237557281,Sri Chelliamman Temple,ஸ்ரீ செல்லியம்மன் டெம்பிள்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_10237564020,Ayathur Chathiram,அயதுர் சத்திரம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_10237564021,Ayathur Chathiram,அயதுர் சத்திரம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_13972457964,Kumananchavadi Metro,குமணன்சாவடி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_13972514096,Iyappanthangal Metro,அய்யப்பன்தாங்கல்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_13972497043,Kattupakkam,காட்டுப்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_13972063969,Porur Bypass,போரூர் புறவழிச் சாலை மெட்ரோ,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3264825906,போரூர்,போரூர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3264869197,சக்தி நகர்,சக்தி நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_13971965462,Porur Junction,போரூர் சந்திப்பு மெட்ரோ,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3264825519,Sakthi Nagar,சக்தி நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_14125845276,Alapakkam Metro,ஆலப்பாக்கம் மெட்ரோ,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3264878737,Ramapuram,ராமபுரம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_2072482089,Lakshmi Nagar,லட்சுமி நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3264871280,Sakthi Nagar,சக்தி நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_14125845275,Karambakkam Metro,காரம்பாக்கம் மெட்ரோ,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_14125845270,Valasaravakkam Metro,வளசரவாக்கம் மெட்ரோ,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_4308329989,West Saidapet,மேற்கு சைதாப்பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1024560151,Ashok Pillar,அசோக் பில்லர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5319972796,Ashok Nagar,அசோக் நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_14125845269,Alwarthirunagar Metro,ஆழ்வார்திருநகர் மெட்ரோ ரயில் நிலையம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_411316688,Virugambakkam,விருகம்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
